종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
251270,-2.87,1.5,-7.31,-13.25,-20.08,-21.92
064550,-0.77,13.14,3.61,-16.93,-42.68,137.0
353200,1.45,6.75,11.87,23.12,27.94,64.98
000480,0.0,0.25,3.14,-2.72,-10.35,-0.76
326030,-1.5,9.5,12.53,-10.49,-27.09,-32.3
006390,1.64,9.54,5.08,1.64,-8.28,-21.12
007570,-1.18,2.03,12.03,-6.51,-25.04,-49.9
067160,-3.84,6.53,-5.1,-28.86,-3.26,87.6
319400,1.37,6.79,12.65,29.65,-19.67,-30.15
115450,1.83,-5.76,9.45,-2.8,34.95,-35.2
241560,-0.26,4.51,3.24,5.66,-8.93,10.87
095340,-1.28,1.15,-3.3,18.5,19.88,41.06
086280,-0.28,3.21,8.92,21.65,-7.09,-9.23
256840,-4.28,-1.36,-31.53,-36.28,-40.85,96.41
008930,-1.45,-2.1,-1.34,-9.87,-37.28,-31.68
003580,-2.7,15.71,4.85,-16.71,-40.22,307.04
088260,0.33,2.18,5.0,1.67,4.64,16.44
001060,3.09,11.61,29.87,21.32,-6.98,-12.96
016590,-0.42,4.96,8.18,22.05,0.32,40.21
267980,0.15,1.47,2.08,0.73,-5.36,-6.14
185750,-0.61,3.92,6.18,-3.6,-19.16,-40.48
006490,3.92,16.83,7.76,-5.97,-32.6,6.78
097520,-3.09,-2.89,-11.67,0.78,2.48,-17.45
038540,-1.14,5.29,3.8,24.19,17.03,48.75
347860,-0.58,7.77,-3.02,-27.85,-25.11,-23.55
097950,0.81,0.0,8.09,5.65,-14.42,-9.0
031440,-1.2,0.61,9.3,8.72,-17.37,22.11
204320,-2.82,1.75,-9.53,-14.99,-22.89,-27.57
047810,2.52,17.33,8.43,41.39,21.57,9.82
097230,1.27,9.81,12.45,6.14,-8.73,13.41
030520,-1.18,8.81,0.24,-27.59,-5.19,17.65
014820,1.6,11.5,10.0,10.42,13.49,9.58
011170,-2.42,-9.21,3.59,0.25,-15.83,-37.65
039840,3.91,15.81,5.43,13.97,-26.73,-4.77
001880,1.79,8.16,2.33,15.15,-7.17,-10.8
122450,-0.53,4.6,9.97,-0.79,-26.83,-30.88
084010,-1.74,10.92,35.11,82.08,18.69,86.76
052690,-0.32,10.54,30.74,10.8,102.86,425.93
003670,-2.13,5.02,4.07,-26.98,-22.82,-29.23
003410,0.64,3.85,2.49,4.27,-3.1,14.16
115390,-0.49,4.17,1.49,5.24,-15.29,-30.27
286940,-0.68,2.53,0.41,4.43,-1.48,-10.1
061970,-3.48,1.83,-7.5,-7.11,-14.94,-11.9
084690,-2.4,-0.22,4.56,-0.44,-16.36,-10.5
