종목코드,지수코드,지수명,날짜
036810,2003,코스닥 중형주,20220224
299030,2003,코스닥 중형주,20220224
080160,2003,코스닥 중형주,20220224
042420,2003,코스닥 중형주,20220224
042000,2003,코스닥 중형주,20220224
013120,2003,코스닥 중형주,20220224
232140,2003,코스닥 중형주,20220224
051370,2003,코스닥 중형주,20220224
058820,2003,코스닥 중형주,20220224
101160,2003,코스닥 중형주,20220224
237880,2003,코스닥 중형주,20220224
243840,2003,코스닥 중형주,20220224
003100,2003,코스닥 중형주,20220224
078020,2003,코스닥 중형주,20220224
089010,2003,코스닥 중형주,20220224
092190,2003,코스닥 중형주,20220224
053030,2003,코스닥 중형주,20220224
104460,2003,코스닥 중형주,20220224
031330,2003,코스닥 중형주,20220224
102710,2003,코스닥 중형주,20220224
321550,2003,코스닥 중형주,20220224
131390,2003,코스닥 중형주,20220224
052400,2003,코스닥 중형주,20220224
119610,2003,코스닥 중형주,20220224
029960,2003,코스닥 중형주,20220224
083790,2003,코스닥 중형주,20220224
204270,2003,코스닥 중형주,20220224
226950,2003,코스닥 중형주,20220224
290670,2003,코스닥 중형주,20220224
050890,2003,코스닥 중형주,20220224
100120,2003,코스닥 중형주,20220224
015750,2003,코스닥 중형주,20220224
307750,2003,코스닥 중형주,20220224
216080,2003,코스닥 중형주,20220224
263720,2003,코스닥 중형주,20220224
277810,2003,코스닥 중형주,20220224
285490,2003,코스닥 중형주,20220224
314130,2003,코스닥 중형주,20220224
319400,2003,코스닥 중형주,20220224
048550,2003,코스닥 중형주,20220224
077360,2003,코스닥 중형주,20220224
