종목코드,종목명,산업,섹터,DT
123330,제닉,경기관련소비재,내구소비재와의류,20240822
047770,코데즈컴바인,경기관련소비재,내구소비재와의류,20240822
014100,메디앙스,경기관련소비재,내구소비재와의류,20240822
267790,배럴,경기관련소비재,내구소비재와의류,20240822
069640,한세엠케이,경기관련소비재,내구소비재와의류,20240822
376180,피코그램,경기관련소비재,내구소비재와의류,20240822
318160,셀바이오휴먼텍,경기관련소비재,내구소비재와의류,20240822
365900,브이씨,경기관련소비재,내구소비재와의류,20240822
159910,스킨앤스킨,경기관련소비재,내구소비재와의류,20240822
083660,CSA 코스믹,경기관련소비재,내구소비재와의류,20240822
018700,바른손,경기관련소비재,내구소비재와의류,20240822
019660,글로본,경기관련소비재,내구소비재와의류,20240822
084870,TBH글로벌,경기관련소비재,내구소비재와의류,20240822
050120,ES큐브,경기관련소비재,내구소비재와의류,20240822
000950,전방,경기관련소비재,내구소비재와의류,20240822
008290,원풍물산,경기관련소비재,내구소비재와의류,20240822
032080,아즈텍WB,경기관련소비재,내구소비재와의류,20240822
219550,디와이디,경기관련소비재,내구소비재와의류,20240822
001070,대한방직,경기관련소비재,내구소비재와의류,20240822
098660,에스티오,경기관련소비재,내구소비재와의류,20240822
088790,진도,경기관련소비재,내구소비재와의류,20240822
225590,패션플랫폼,경기관련소비재,내구소비재와의류,20240822
123750,알톤,경기관련소비재,내구소비재와의류,20240822
344860,이노진,경기관련소비재,내구소비재와의류,20240822
335870,윙스풋,경기관련소비재,내구소비재와의류,20240822
011080,형지I&C,경기관련소비재,내구소비재와의류,20240822
109670,씨싸이트,경기관련소비재,내구소비재와의류,20240822
308100,까스텔바작,경기관련소비재,내구소비재와의류,20240822
035250,강원랜드,경기관련소비재,"호텔,레스토랑,레저등",20240822
039130,하나투어,경기관련소비재,"호텔,레스토랑,레저등",20240822
034230,파라다이스,경기관련소비재,"호텔,레스토랑,레저등",20240822
114090,GKL,경기관련소비재,"호텔,레스토랑,레저등",20240822
032350,롯데관광개발,경기관련소비재,"호텔,레스토랑,레저등",20240822
025980,아난티,경기관련소비재,"호텔,레스토랑,레저등",20240822
215000,골프존,경기관련소비재,"호텔,레스토랑,레저등",20240822
006730,서부T&D,경기관련소비재,"호텔,레스토랑,레저등",20240822
080160,모두투어,경기관련소비재,"호텔,레스토랑,레저등",20240822
070960,모나용평,경기관련소비재,"호텔,레스토랑,레저등",20240822
031440,신세계푸드,경기관련소비재,"호텔,레스토랑,레저등",20240822
104620,노랑풍선,경기관련소비재,"호텔,레스토랑,레저등",20240822
094850,참좋은여행,경기관련소비재,"호텔,레스토랑,레저등",20240822
020710,시공테크,경기관련소비재,"호텔,레스토랑,레저등",20240822
