종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,R2Y,DT
024910,1.87,2.08,2.73,-11.23,7.69,-18.74,-4.11,20240801
013580,-0.98,4.57,12.1,10.46,4.43,-2.14,-39.6,20240801
012200,0.78,2.43,-1.75,-33.89,-5.33,-21.62,-46.04,20240801
012205,-0.25,-0.37,-1.21,-24.63,0.99,0.0,-28.09,20240801
002140,0.71,1.61,-7.05,-8.4,-10.14,-24.6,-45.27,20240801
049720,0.96,0.57,1.93,-2.58,-1.21,-0.47,-2.13,20240801
002240,0.74,3.31,-5.58,-21.77,-3.33,-28.27,-2.87,20240801
014570,1.82,4.09,2.19,-8.94,-17.04,-10.97,-27.74,20240801
950190,0.19,3.6,5.07,-3.26,-20.23,-4.34,-33.53,20240801
098460,0.26,-2.03,-8.0,-29.76,-33.47,-15.13,-21.29,20240801
900280,0.0,0.0,0.0,0.0,-17.09,-50.26,-76.05,20240801
215000,0.54,-2.12,-4.27,-4.76,-7.73,-24.18,-46.34,20240801
121440,0.14,-0.67,-5.73,-3.65,-0.67,-15.23,-45.59,20240801
076340,0.0,5.88,-3.23,2.47,-3.4,-7.38,-19.28,20240801
009290,1.8,2.56,4.29,-1.16,-6.21,4.62,1.8,20240801
086220,-0.58,-7.87,-8.53,-2.83,-9.17,31.78,-4.28,20240801
014200,0.0,0.0,0.0,0.0,0.0,0.0,-30.14,20240801
017040,2.44,-2.1,-4.98,-23.08,-3.0,-24.46,-30.58,20240801
017900,0.48,4.22,1.69,-4.11,-12.32,-18.92,-11.02,20240801
037710,0.51,1.2,-2.97,-5.31,-3.76,-8.82,-10.62,20240801
026910,0.0,1.8,-5.03,-13.98,-21.93,-34.64,-51.95,20240801
421800,1.69,1.47,-22.51,-9.57,6.87,15.59,14.22,20240801
440790,-0.22,-2.97,-3.79,-5.97,2.24,7.53,,20240801
456490,-0.45,-0.45,-4.33,-5.96,0.45,3.27,,20240801
339770,-2.4,-0.85,-4.68,16.98,22.32,21.06,-21.92,20240801
007690,0.69,0.55,-4.85,0.55,-7.98,-29.92,-27.69,20240801
066620,0.06,1.58,3.14,8.57,8.5,6.49,-6.18,20240801
043650,-1.21,1.71,4.47,19.09,5.99,11.02,-29.27,20240801
006050,1.5,0.88,0.79,-0.69,-10.63,-13.97,-30.81,20240801
060480,2.59,4.57,-3.76,-21.2,-10.49,-32.03,-43.87,20240801
307750,1.17,-1.88,2.56,-8.6,-8.92,-22.81,-36.31,20240801
002720,3.7,-2.57,15.59,29.13,35.22,60.85,18.13,20240801
204020,1.37,1.2,-4.53,0.34,-5.45,-11.14,-7.09,20240801
083420,-0.14,-2.24,-3.86,-6.32,1.9,-14.58,-17.71,20240801
186230,0.28,2.75,8.51,0.46,34.66,13.15,-16.29,20240801
014530,0.5,2.97,1.4,3.23,3.64,-0.87,7.55,20240801
900070,-0.21,0.0,3.33,6.41,-11.43,-31.72,-41.95,20240801
019660,-1.96,7.73,-10.19,-27.13,-31.85,-60.41,-75.4,20240801
014280,-0.19,3.01,1.58,-6.22,-13.78,-16.04,-27.44,20240801
014285,-0.82,-5.49,-3.99,-5.49,-9.26,-20.55,-34.4,20240801
053260,-0.79,2.96,2.02,-1.37,-3.07,-17.35,-26.38,20240801
