종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
005070,0.69,-7.29,-10.38,-16.28,-15.8,88.8
017390,0.79,0.0,5.52,19.38,21.66,102.76
048870,-0.92,3.44,-4.33,-20.25,-7.39,22.88
093050,1.16,-1.69,3.88,-0.57,-5.43,8.75
006910,15.93,28.33,74.27,96.55,77.2,221.13
139130,2.04,-0.77,-6.54,-5.56,-1.1,23.63
102460,2.76,-1.41,-8.06,-30.12,-46.96,57.02
252990,0.48,-3.54,-2.34,5.73,-23.16,
302440,3.09,3.09,-11.76,-40.12,-52.15,
256840,13.51,4.02,-20.57,-7.98,-46.36,117.56
058470,1.84,0.38,2.87,-12.19,2.64,16.87
365550,1.06,5.54,8.1,2.14,-2.59,16.69
136480,0.17,-1.82,4.41,7.83,-1.66,1.89
334970,-0.57,-4.1,-9.43,-33.55,-52.15,
029960,1.52,2.7,-1.36,-9.51,-10.53,-8.48
019170,2.13,41.49,97.64,44.13,-28.75,-46.49
043150,-1.05,3.57,11.19,4.57,-10.65,43.81
008560,1.25,-4.85,-7.48,10.49,6.16,44.23
000720,8.94,10.18,15.47,-0.31,-10.83,22.95
373220,1.71,-3.8,-23.81,,,
383220,-0.85,-4.9,-2.04,-9.44,12.72,
006280,0.27,6.21,2.17,-17.9,-51.17,-48.35
100090,2.45,-1.57,6.5,-13.53,-8.94,14.94
